    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.08s
     Running `target/debug/invoice-collect audit '879455187@qq.com'`
连接 imap.qq.com:993 账号 879455187@qq.com
范围内 69 封邮件，开始审计

UID	Date	From	Subject	Filename	ContentType	ByteLen	Platform	Format	Reason	WouldSave	Notes
570	(from_envelope)	kefu@service.vpiaotong.com	您收到一张来自北京华夏龙源华斌商贸有限公司的电子发票【发票金额：47.40】	26112000002208097411_ 赛比亚医疗 诊断器械（ 上海）有限 公司.pdf	text/plain	309718	unknown	pdf-vat	keyword_match	YES	keyword_match
570	(from_envelope)	kefu@service.vpiaotong.com	您收到一张来自北京华夏龙源华斌商贸有限公司的电子发票【发票金额：47.40】	26112000002208097411_ 赛比亚医疗 诊断器械（ 上海）有限 公司.ofd	text/plain	165541	unknown	ofd	keyword_match	YES	keyword_match
570	(from_envelope)	kefu@service.vpiaotong.com	您收到一张来自北京华夏龙源华斌商贸有限公司的电子发票【发票金额：47.40】	26112000002208097411_ 赛比亚医疗 诊断器械（ 上海）有限 公司.xml	text/plain	7095	unknown	xml	keyword_match	YES	keyword_match
572	(from_envelope)	invoice@info.nuonuo.com	您收到一张【很久以前餐饮管理（上海）有限公司】开具的发票【发票号码：26312000003409200316】	NO_ATTACHMENTS						SKIP_NO_ATTACH	
573	(from_envelope)	1293926527@qq.com	您收到一张【上海中核科创园发展有限公司】开具的数电发票【发票号码：26312000003445962271】，请查收	dzfp_26312000003445962271_上海中 核科创园发展有 限公司_202 60603070745.pdf	application/octet-stream	105943	unknown	pdf-vat	keyword_match	YES	keyword_match
575	(from_envelope)	303268627@qq.com	您收到一张【河北融元商贸有限公司北京第三分公司】开具的数电发票【发票号码：26112000002267104336】，请查收	dzfp_2611200000 2267104336_河北融元商 贸有限公司北京 第三分公司_20 260604164844.pdf	application/octet-stream	150249	unknown	pdf-vat	keyword_match	YES	keyword_match
576	(from_envelope)	adu@sebia.com	(无主题)	dzfp_26152000000504292846_松山区锡蒙餐厅_2026 0604194646.pdf	application/pdf	107648				NO	rejected_no_invoice_features
577	(from_envelope)	invoice@invoice01.huazhuhotels.com	【华住酒店集团】全季赤峰市政府酒店发票已开具，感谢您的支持！（发票号码：26152000000504950146）	dzfp_26152000000504950146_赛比亚医疗诊 断器械（上海）有限公司_20260605071 745.pdf	application/octet-stream	58367	unknown	pdf-vat	keyword_match	YES	keyword_match
577	(from_envelope)	invoice@invoice01.huazhuhotels.com	【华住酒店集团】全季赤峰市政府酒店发票已开具，感谢您的支持！（发票号码：26152000000504950146）	结账单20260605.pdf	application/octet-stream	35252	unknown	pdf-vat	keyword_match	YES	keyword_match
578	(from_envelope)	yun1@vip.baiwang.com	电子发票下载	NO_ATTACHMENTS						SKIP_NO_ATTACH	
579	(from_envelope)	460330987@qq.com	79	dzfp_26154000000017842981_赛比亚医疗诊断器械（上海）有限公司_20260605154629.pdf	application/octet-stream	118323				NO	rejected_no_invoice_features
580	(from_envelope)	460330987@qq.com	177	dzfp_26152000000504292846_松山区锡蒙餐厅_20260605161911.pdf	application/octet-stream	107721				NO	rejected_no_invoice_features
581	(from_envelope)	460330987@qq.com	5994	26112000002279072131.pdf	application/octet-stream	60519				NO	rejected_no_invoice_features
582	(from_envelope)	460330987@qq.com	37	dzfp_26632000000104970661_北京和谐时代企业管理有限公司青海分公司_20260527115711.pdf	application/octet-stream	150686				NO	rejected_no_invoice_features
583	(from_envelope)	460330987@qq.com	93	93-高铁.pdf	application/octet-stream	155609				NO	rejected_no_invoice_features
585	(from_envelope)	it_fapiao@meituan.com	【电子发票】北京星巴克咖啡有限公司（发票金额：143.40元）	北京星巴克咖啡有限公司_发 票金额143.40元.pdf	application/pdf	71120	meituan	pdf-vat	sender_whitelist_match	YES	sender_whitelist_match
586	(from_envelope)	it_fapiao@meituan.com	【电子发票】上海三快智送科技有限公司（发票金额：0.30元）	上海三快智送科技有限公司_ 发票金额0.30元.pdf	application/pdf	109549	meituan	pdf-vat	sender_whitelist_match	YES	sender_whitelist_match
